source_file,feat_requires_auth,feat_path_depth,feat_is_admin,feat_has_identifier,feat_identifier_count,feat_method_risk,feat_param_count,feat_response_401,feat_sensitive_path,feat_id_position,feat_path_param_ratio,feat_id_and_write,feat_complex_risk,feat_param_name_id_risk,feat_missing_auth_with_id,feat_sibling_endpoint_count,feat_anomaly,label
data/raw/dvws/swagger-output.json,0,2,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,5,0,0,0,1,0.0,0,1,0.0,0.0,0,0,0,0,1,0.0,0
data/raw/dvws/swagger-output.json,0,5,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,1,0.0,1
data/raw/dvws/swagger-output.json,0,5,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,1
data/raw/dvws/swagger-output.json,0,3,1,0,0,2,0.6931471805599453,1,1,0.0,0.0,0,0,0,0,0,0.0,1
data/raw/dvws/swagger-output.json,0,3,0,0,0,1,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,1,0.0,0
data/raw/dvws/swagger-output.json,0,3,0,0,0,2,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,1,0.0,1
data/raw/dvws/swagger-output.json,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,3,0,1,1,1,0.6931471805599453,0,0,0.6666666666666666,1.0,0,0,0,1,0,0.0,0
data/raw/dvws/swagger-output.json,0,3,0,1,1,1,0.6931471805599453,0,0,0.6666666666666666,1.0,0,0,0,1,0,0.0,0
data/raw/dvws/swagger-output.json,0,2,0,0,0,1,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,4,0.0,0
data/raw/dvws/swagger-output.json,0,2,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,4,0.0,0
data/raw/dvws/swagger-output.json,0,2,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,3,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,4,0,0,0,2,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,2,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,1,0.0,0
data/raw/dvws/swagger-output.json,0,2,0,0,0,2,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/dvws/swagger-output.json,0,3,0,1,1,1,0.6931471805599453,0,1,0.6666666666666666,1.0,0,1,0,1,1,0.0,1
data/raw/dvws/swagger-output.json,0,1,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,1,0.0,0
data/raw/dvws/swagger-output.json,0,1,0,0,0,1,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,1,0.0,0
data/raw/dvws/swagger-output.json,0,1,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/juiceshop/swagger.yml,1,1,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vampi/openapi3.yml,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vampi/openapi3.yml,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vampi/openapi3.yml,0,3,0,0,0,1,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vampi/openapi3.yml,0,3,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,1
data/raw/vampi/openapi3.yml,0,3,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,1
data/raw/vampi/openapi3.yml,1,1,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vampi/openapi3.yml,0,3,0,1,1,1,0.6931471805599453,0,1,0.6666666666666666,1.0,0,1,0,1,2,0.0,1
data/raw/vampi/openapi3.yml,0,2,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,2,0.0,0
data/raw/vampi/openapi3.yml,1,2,0,0,0,2,0.0,1,0,0.0,0.0,0,0,0,0,2,0.0,0
data/raw/vampi/openapi3.yml,1,3,0,1,1,1,0.6931471805599453,1,0,0.6666666666666666,1.0,0,0,0,0,2,0.0,0
data/raw/vuln-bank/openapi.json,0,1,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,1,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,3,0,1,1,2,0.6931471805599453,0,0,0.3333333333333333,1.0,1,0,0,1,0,0.0,1
data/raw/vuln-bank/openapi.json,0,3,0,1,1,2,0.6931471805599453,0,0,0.3333333333333333,1.0,1,0,0,1,0,0.0,1
data/raw/vuln-bank/openapi.json,1,1,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,1,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,1,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,4,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,5,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,1,1,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,2,1,0,0,2,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,2,0,0,0,1,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,1,0,0,0,2,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,3,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,2,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,4,0,1,1,2,0.6931471805599453,0,0,0.5,1.0,1,0,1,0,0,0.0,1
data/raw/vuln-bank/openapi.json,1,4,0,1,1,1,0.6931471805599453,0,1,0.5,1.0,0,1,1,0,0,0.0,1
data/raw/vuln-bank/openapi.json,1,4,0,1,1,2,0.6931471805599453,0,0,0.5,1.0,1,0,1,0,0,0.0,1
data/raw/vuln-bank/openapi.json,0,2,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,4,0,1,1,1,0.6931471805599453,0,0,0.75,1.0,0,0,1,1,0,0.0,0
data/raw/vuln-bank/openapi.json,1,3,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,1
data/raw/vuln-bank/openapi.json,1,3,0,0,0,1,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,1,3,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,4,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/vuln-bank/openapi.json,0,3,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0001.yaml,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0001.yaml,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0002.yaml,1,3,0,0,0,2,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0002.yaml,1,3,0,0,0,2,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0002.yaml,1,3,0,0,0,2,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0002.yaml,1,4,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,1,0,0,0,1,1.0986122886681098,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0003.yaml,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0003.yaml,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0003.yaml,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,1,0,0,0,1,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,6,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,2,0,1,1,1,0.6931471805599453,1,0,0.5,1.0,0,0,1,0,6,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,3,0,1,1,1,1.0986122886681098,1,0,0.3333333333333333,0.5,0,0,1,0,1,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,3,0,1,1,2,0.6931471805599453,1,0,0.3333333333333333,1.0,1,0,1,0,1,0.0,1
data/raw/apisguru_flat/api_0003.yaml,1,4,0,1,2,1,1.0986122886681098,1,0,0.25,1.0,0,0,2,0,6,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,5,0,1,2,1,1.3862943611198906,1,0,0.2,0.6666666666666666,0,0,2,0,0,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,6,0,1,3,1,1.6094379124341005,1,0,0.1666666666666666,0.75,0,0,3,0,6,0.0,0
data/raw/apisguru_flat/api_0003.yaml,1,7,0,1,3,1,1.3862943611198906,1,0,0.1428571428571428,1.0,0,0,3,0,0,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,1,0,0,0,3,1.3862943611198906,1,0,0.0,0.0,0,0,0,0,6,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,1,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,6,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,2,0,1,1,1,0.6931471805599453,0,0,0.5,0.0,0,0,0,1,6,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,2,0,1,1,2,0.6931471805599453,0,0,0.5,0.0,1,0,0,1,6,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,1,0,0,0,2,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,0,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,1,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,5,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,2,0,1,1,1,0.6931471805599453,0,0,0.5,0.0,0,0,0,1,5,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,2,0,1,1,1,0.6931471805599453,0,0,0.5,0.0,0,0,0,1,5,0.0,0
data/raw/apisguru_flat/api_0004.yaml,0,2,0,1,1,2,0.6931471805599453,1,0,0.5,0.0,1,0,0,1,5,0.0,0
data/raw/apisguru_flat/api_0005.yaml,1,1,0,0,0,1,1.6094379124341005,0,0,0.0,0.0,0,0,0,0,1,0.0,0
data/raw/apisguru_flat/api_0005.yaml,1,2,0,1,1,1,0.6931471805599453,0,0,0.5,0.0,0,0,1,0,1,0.0,0
